model,seed,week,factors_stressed_true,factors_named,week_cost,stockout
anthropic-claude-sonnet-5,24,6,,,200,0
anthropic-claude-sonnet-5,24,7,,demand,119,0
anthropic-claude-sonnet-5,24,8,,demand;freight,136,0
anthropic-claude-sonnet-5,24,9,,demand,104,0
anthropic-claude-sonnet-5,24,10,,,285,0
anthropic-claude-sonnet-5,24,11,,,149,0
anthropic-claude-sonnet-5,24,12,,demand,97,0
anthropic-claude-sonnet-5,24,13,,quality;supplier,104,0
anthropic-claude-sonnet-5,24,14,,freight,101,0
anthropic-claude-sonnet-5,24,15,,demand;freight,139,0
anthropic-claude-sonnet-5,24,16,,demand,117,0
anthropic-claude-sonnet-5,24,17,,demand,51,0
anthropic-claude-sonnet-5,24,18,,demand;freight,143,0
anthropic-claude-sonnet-5,24,19,,port,79,0
anthropic-claude-sonnet-5,24,20,,disruption;freight,424,0
anthropic-claude-sonnet-5,24,21,,freight,445,0
anthropic-claude-sonnet-5,24,22,,disruption,221,0
anthropic-claude-sonnet-5,24,23,,demand;disruption;freight,341,0
anthropic-claude-sonnet-5,24,24,disruption,disruption;port,478,0
anthropic-claude-sonnet-5,24,25,,supplier,374,0
anthropic-claude-sonnet-5,24,26,,,60,0
anthropic-claude-sonnet-5,25,1,,demand;freight;port,116,0
anthropic-claude-sonnet-5,25,2,,,127,0
anthropic-claude-sonnet-5,25,3,,disruption,125,0
anthropic-claude-sonnet-5,25,4,disruption,disruption;supplier,262,0
anthropic-claude-sonnet-5,25,5,disruption,disruption;port,549,0
anthropic-claude-sonnet-5,25,6,port,disruption;port,399,0
anthropic-claude-sonnet-5,25,7,port,freight;port,515,0
anthropic-claude-sonnet-5,25,8,,,97,0
anthropic-claude-sonnet-5,25,9,,,111,0
anthropic-claude-sonnet-5,25,10,,demand;quality,133,0
anthropic-claude-sonnet-5,25,11,,demand;freight,115,0
anthropic-claude-sonnet-5,25,12,port,demand;port,134,0
anthropic-claude-sonnet-5,25,13,,,403,0
anthropic-claude-sonnet-5,25,14,,freight,97,0
anthropic-claude-sonnet-5,25,15,,demand;quality,99,0
anthropic-claude-sonnet-5,25,16,,,83,0
anthropic-claude-sonnet-5,25,17,,freight,109,0
anthropic-claude-sonnet-5,25,18,,,113,0
anthropic-claude-sonnet-5,25,19,,supplier,85,0
anthropic-claude-sonnet-5,25,20,supplier,demand;supplier,211,0
anthropic-claude-sonnet-5,25,21,port,demand;freight;port;supplier,322,1
anthropic-claude-sonnet-5,25,22,,demand;freight,509,0
anthropic-claude-sonnet-5,25,23,,,243,0
anthropic-claude-sonnet-5,25,24,,,81,0
anthropic-claude-sonnet-5,25,25,,,63,0
anthropic-claude-sonnet-5,25,26,port,,91,0
anthropic-claude-sonnet-5,29,1,,demand;port,131,0
anthropic-claude-sonnet-5,29,2,,freight,143,0
anthropic-claude-sonnet-5,29,3,,supplier,109,0
anthropic-claude-sonnet-5,29,4,,demand;port;supplier,233,0
anthropic-claude-sonnet-5,29,5,,,230,0
anthropic-claude-sonnet-5,29,6,supplier,demand;quality;supplier,182,0
anthropic-claude-sonnet-5,29,7,supplier,demand;supplier,151,0
anthropic-claude-sonnet-5,29,8,quality;supplier,supplier,86,0
anthropic-claude-sonnet-5,29,9,quality;supplier,quality;supplier,176,0
anthropic-claude-sonnet-5,29,10,quality,,159,0
anthropic-claude-sonnet-5,29,11,demand;quality,demand;supplier,77,0
anthropic-claude-sonnet-5,29,12,demand;quality,quality,553,0
anthropic-claude-sonnet-5,29,13,demand,demand,168,0
anthropic-claude-sonnet-5,29,14,demand,freight,134,0
anthropic-claude-sonnet-5,29,15,,,194,0
anthropic-claude-sonnet-5,29,16,,,112,0
anthropic-claude-sonnet-5,29,17,,port,102,0
anthropic-claude-sonnet-5,29,18,port,disruption;port;supplier,187,1
anthropic-claude-sonnet-5,29,19,port,demand;freight;port,572,0
anthropic-claude-sonnet-5,29,20,port,freight;port,537,0
anthropic-claude-sonnet-5,29,21,port,freight;port,562,0
anthropic-claude-sonnet-5,29,22,port,demand;port,594,0
anthropic-claude-sonnet-5,29,23,demand;port,demand;disruption,608,1
anthropic-claude-sonnet-5,29,24,demand;port,disruption;freight;port,768,1
anthropic-claude-sonnet-5,29,25,demand;port,port,943,1
anthropic-claude-sonnet-5,29,26,demand;disruption,,389,0
anthropic-claude-sonnet-5,44,1,demand,demand,96,0
anthropic-claude-sonnet-5,44,2,demand,demand;port;supplier,86,0
anthropic-claude-sonnet-5,44,3,demand;supplier,supplier,286,0
anthropic-claude-sonnet-5,44,4,demand;supplier,supplier,78,0
anthropic-claude-sonnet-5,44,5,supplier,demand;supplier,325,0
anthropic-claude-sonnet-5,44,6,port;supplier,port,552,1
anthropic-claude-sonnet-5,44,7,,freight,416,0
anthropic-claude-sonnet-5,44,8,,demand,104,0
anthropic-claude-sonnet-5,44,9,,quality,269,0
anthropic-claude-sonnet-5,44,10,supplier,disruption,84,0
anthropic-claude-sonnet-5,44,11,supplier,,307,0
anthropic-claude-sonnet-5,44,12,supplier,supplier,220,0
anthropic-claude-sonnet-5,44,13,supplier,demand;disruption;port,208,0
anthropic-claude-sonnet-5,44,14,,,515,0
anthropic-claude-sonnet-5,44,15,port,disruption;freight;port,213,0
anthropic-claude-sonnet-5,44,16,port,port,1050,0
anthropic-claude-sonnet-5,44,17,port,demand;port,749,1
anthropic-claude-sonnet-5,44,18,disruption;port,disruption;freight;port,729,1
anthropic-claude-sonnet-5,44,19,disruption;freight;port,disruption;freight;port,649,1
anthropic-claude-sonnet-5,44,20,disruption;freight,disruption;freight,439,0
anthropic-claude-sonnet-5,44,21,disruption;freight,demand;disruption;freight,124,0
anthropic-claude-sonnet-5,44,22,disruption;freight,disruption;freight,1120,0
anthropic-claude-sonnet-5,44,23,disruption;freight,freight,113,0
anthropic-claude-sonnet-5,44,24,disruption,disruption,89,0
anthropic-claude-sonnet-5,44,25,disruption,,394,0
anthropic-claude-sonnet-5,44,26,disruption;supplier,,73,0
anthropic-claude-sonnet-5,58,1,,freight,149,0
anthropic-claude-sonnet-5,58,2,demand,demand;port,120,0
anthropic-claude-sonnet-5,58,3,demand,disruption;supplier,113,0
anthropic-claude-sonnet-5,58,4,,freight;port,356,0
anthropic-claude-sonnet-5,58,5,,demand;quality,105,0
anthropic-claude-sonnet-5,58,6,,demand;supplier,126,0
anthropic-claude-sonnet-5,58,7,port,port;supplier,394,1
anthropic-claude-sonnet-5,58,8,port;supplier,disruption;freight;port,567,0
anthropic-claude-sonnet-5,58,9,disruption;port;supplier,disruption;freight;port,801,1
anthropic-claude-sonnet-5,58,10,disruption;freight;port;supplier,disruption;supplier,540,0
anthropic-claude-sonnet-5,58,11,freight;port;supplier,freight,821,1
anthropic-claude-sonnet-5,58,12,demand;port,port,617,1
anthropic-claude-sonnet-5,58,13,demand;port,demand,797,1
anthropic-claude-sonnet-5,58,14,demand;port,port,737,1
anthropic-claude-sonnet-5,58,15,demand,demand;quality,519,0
anthropic-claude-sonnet-5,58,16,,,91,0
anthropic-claude-sonnet-5,58,17,port,port,160,0
anthropic-claude-sonnet-5,58,18,,,135,0
anthropic-claude-sonnet-5,58,19,,demand,163,0
anthropic-claude-sonnet-5,58,20,,,125,0
anthropic-claude-sonnet-5,58,21,demand,,114,0
anthropic-claude-sonnet-5,58,22,demand,demand,134,0
anthropic-claude-sonnet-5,58,23,demand;quality,demand;quality,112,0
anthropic-claude-sonnet-5,58,24,demand;quality,demand;disruption,397,0
anthropic-claude-sonnet-5,58,25,quality,quality;supplier,377,0
anthropic-claude-sonnet-5,58,26,quality,,78,0
anthropic-claude-sonnet-5,60,1,,demand,107,0
anthropic-claude-sonnet-5,60,2,,freight;port,144,0
anthropic-claude-sonnet-5,60,3,,quality,139,0
anthropic-claude-sonnet-5,60,4,quality,demand;freight;quality,138,0
anthropic-claude-sonnet-5,60,5,quality,quality,193,0
anthropic-claude-sonnet-5,60,6,quality,demand;freight,175,0
anthropic-claude-sonnet-5,60,7,,disruption,98,0
anthropic-claude-sonnet-5,60,8,disruption,demand;disruption;freight;port,375,0
anthropic-claude-sonnet-5,60,9,,demand;disruption;freight,206,0
anthropic-claude-sonnet-5,60,10,demand,demand,395,0
anthropic-claude-sonnet-5,60,11,demand,demand,206,1
anthropic-claude-sonnet-5,60,12,demand,demand;freight,471,0
anthropic-claude-sonnet-5,60,13,demand,demand;freight,204,0
anthropic-claude-sonnet-5,60,14,demand,freight,533,0
anthropic-claude-sonnet-5,60,15,demand,freight,163,0
anthropic-claude-sonnet-5,60,16,demand,demand;freight,169,0
anthropic-claude-sonnet-5,60,17,demand,demand;freight,269,0
anthropic-claude-sonnet-5,60,18,,demand;freight,284,0
anthropic-claude-sonnet-5,60,19,,disruption;freight,448,0
anthropic-claude-sonnet-5,60,20,disruption,disruption;freight;port,713,0
anthropic-claude-sonnet-5,60,21,port,demand;disruption;freight;port,203,0
anthropic-claude-sonnet-5,60,22,,,555,0
anthropic-claude-sonnet-5,60,23,,supplier,121,0
anthropic-claude-sonnet-5,60,24,,,112,0
anthropic-claude-sonnet-5,60,25,,,73,0
anthropic-claude-sonnet-5,60,26,,,51,0
anthropic-claude-sonnet-5,85,1,,port,116,0
anthropic-claude-sonnet-5,85,2,,quality,140,0
anthropic-claude-sonnet-5,85,3,,demand;freight,131,0
anthropic-claude-sonnet-5,85,4,,demand;supplier,107,0
anthropic-claude-sonnet-5,85,5,,disruption;port,284,0
anthropic-claude-sonnet-5,85,6,disruption,disruption;port,607,0
anthropic-claude-sonnet-5,85,7,disruption,disruption;freight;supplier,279,0
anthropic-claude-sonnet-5,85,8,,,587,0
anthropic-claude-sonnet-5,85,9,,,258,0
anthropic-claude-sonnet-5,85,10,,,116,0
anthropic-claude-sonnet-5,85,11,,,99,0
anthropic-claude-sonnet-5,85,12,,demand;quality;supplier,92,0
anthropic-claude-sonnet-5,85,13,,,180,0
anthropic-claude-sonnet-5,85,14,supplier,supplier,70,0
anthropic-claude-sonnet-5,85,15,,demand;supplier,220,0
anthropic-claude-sonnet-5,85,16,,demand,142,0
anthropic-claude-sonnet-5,85,17,,demand,287,1
anthropic-claude-sonnet-5,85,18,demand,demand,451,0
anthropic-claude-sonnet-5,85,19,demand,demand;supplier,179,0
anthropic-claude-sonnet-5,85,20,demand,demand;port;supplier,223,0
anthropic-claude-sonnet-5,85,21,demand,port,563,0
anthropic-claude-sonnet-5,85,22,,freight;supplier,109,0
anthropic-claude-sonnet-5,85,23,demand;port,port,210,0
anthropic-claude-sonnet-5,85,24,demand;port,demand;port,624,1
anthropic-claude-sonnet-5,85,25,demand;port,port,624,1
anthropic-claude-sonnet-5,85,26,demand;disruption;port,,634,1
anthropic-claude-sonnet-5,86,1,,demand;port,135,0
anthropic-claude-sonnet-5,86,2,,demand;disruption,123,0
anthropic-claude-sonnet-5,86,3,,disruption;supplier,486,0
anthropic-claude-sonnet-5,86,4,,freight,230,0
anthropic-claude-sonnet-5,86,5,demand,demand;supplier,304,0
anthropic-claude-sonnet-5,86,6,demand,demand,528,0
anthropic-claude-sonnet-5,86,7,demand,,480,0
anthropic-claude-sonnet-5,86,8,,demand,197,0
anthropic-claude-sonnet-5,86,9,,,129,0
anthropic-claude-sonnet-5,86,10,,freight,145,0
anthropic-claude-sonnet-5,86,11,,quality;supplier,154,0
anthropic-claude-sonnet-5,86,12,,freight;supplier,127,0
anthropic-claude-sonnet-5,86,13,,,120,0
anthropic-claude-sonnet-5,86,14,,demand;quality,110,0
anthropic-claude-sonnet-5,86,15,,freight;quality;supplier,94,0
anthropic-claude-sonnet-5,86,16,,demand;quality,142,0
anthropic-claude-sonnet-5,86,17,,freight,84,0
anthropic-claude-sonnet-5,86,18,,freight;port;quality;supplier,102,0
anthropic-claude-sonnet-5,86,19,supplier,supplier,571,0
anthropic-claude-sonnet-5,86,20,,,182,0
anthropic-claude-sonnet-5,86,21,,freight;port;quality;supplier,110,0
anthropic-claude-sonnet-5,86,22,quality,quality,514,0
anthropic-claude-sonnet-5,86,23,quality,disruption,205,0
anthropic-claude-sonnet-5,86,24,,demand,59,0
anthropic-claude-sonnet-5,86,25,,demand;supplier,39,0
anthropic-claude-sonnet-5,86,26,,,12,0
anthropic-claude-sonnet-5,94,1,,demand,125,0
anthropic-claude-sonnet-5,94,2,,,87,0
anthropic-claude-sonnet-5,94,3,,,136,0
anthropic-claude-sonnet-5,94,4,,supplier,73,0
anthropic-claude-sonnet-5,94,5,,port,243,0
anthropic-claude-sonnet-5,94,6,demand;port,port,521,1
anthropic-claude-sonnet-5,94,7,demand;port,port,630,1
anthropic-claude-sonnet-5,94,8,demand;port,demand;port,652,1
anthropic-claude-sonnet-5,94,9,demand,demand,407,0
anthropic-claude-sonnet-5,94,10,,demand;quality,185,0
anthropic-claude-sonnet-5,94,11,,,113,0
anthropic-claude-sonnet-5,94,12,port,port,121,0
anthropic-claude-sonnet-5,94,13,,demand,148,0
anthropic-claude-sonnet-5,94,14,,demand;freight;supplier,108,0
anthropic-claude-sonnet-5,94,15,demand,demand;freight;supplier,234,0
anthropic-claude-sonnet-5,94,16,demand;quality;supplier,demand;quality;supplier,254,0
anthropic-claude-sonnet-5,94,17,demand;quality;supplier,freight;supplier,195,0
anthropic-claude-sonnet-5,94,18,demand,demand;freight;supplier,170,0
anthropic-claude-sonnet-5,94,19,freight,freight,246,0
anthropic-claude-sonnet-5,94,20,freight;supplier,freight,349,0
anthropic-claude-sonnet-5,94,21,freight;supplier,freight;supplier,65,0
anthropic-claude-sonnet-5,94,22,freight;supplier,freight,362,0
anthropic-claude-sonnet-5,94,23,freight;supplier,freight,358,0
anthropic-claude-sonnet-5,94,24,supplier,,352,0
anthropic-claude-sonnet-5,94,25,supplier,,32,0
anthropic-claude-sonnet-5,94,26,port;supplier,,16,0
anthropic-claude-sonnet-5,95,1,,freight,190,0
anthropic-claude-sonnet-5,95,2,freight,demand,137,0
anthropic-claude-sonnet-5,95,3,freight,freight,295,0
anthropic-claude-sonnet-5,95,4,freight,demand;freight,469,0
anthropic-claude-sonnet-5,95,5,freight,demand;freight;port,403,0
anthropic-claude-sonnet-5,95,6,freight;port,port,415,0
anthropic-claude-sonnet-5,95,7,freight;port,demand;freight;port,447,0
anthropic-claude-sonnet-5,95,8,demand;port,port,489,0
anthropic-claude-sonnet-5,95,9,demand;port,port,594,0
anthropic-claude-sonnet-5,95,10,demand;port,port,538,0
anthropic-claude-sonnet-5,95,11,demand;port,port;quality,539,0
anthropic-claude-sonnet-5,95,12,port,disruption,756,1
anthropic-claude-sonnet-5,95,13,port,,626,1
anthropic-claude-sonnet-5,95,14,,,398,0
anthropic-claude-sonnet-5,95,15,demand,demand,102,0
anthropic-claude-sonnet-5,95,16,demand,demand,114,0
anthropic-claude-sonnet-5,95,17,demand,demand;supplier,102,0
anthropic-claude-sonnet-5,95,18,demand,demand,152,0
anthropic-claude-sonnet-5,95,19,demand,demand,413,0
anthropic-claude-sonnet-5,95,20,,,113,0
anthropic-claude-sonnet-5,95,21,,demand,129,0
anthropic-claude-sonnet-5,95,22,,quality,357,0
anthropic-claude-sonnet-5,95,23,,supplier,132,0
anthropic-claude-sonnet-5,95,24,,,139,0
anthropic-claude-sonnet-5,95,25,,,61,0
anthropic-claude-sonnet-5,95,26,,,40,0
anthropic-claude-sonnet-5,99,1,,demand;freight,169,0
anthropic-claude-sonnet-5,99,2,,port,139,0
anthropic-claude-sonnet-5,99,3,demand;port,port,132,0
anthropic-claude-sonnet-5,99,4,demand,,485,0
anthropic-claude-sonnet-5,99,5,demand;disruption,demand;disruption;supplier,409,0
anthropic-claude-sonnet-5,99,6,demand;disruption,demand;disruption;freight,348,1
anthropic-claude-sonnet-5,99,7,demand;port,disruption;port,910,1
anthropic-claude-sonnet-5,99,8,port,port,446,0
anthropic-claude-sonnet-5,99,9,demand;port,demand;port,629,1
anthropic-claude-sonnet-5,99,10,demand;port,freight;port;quality,739,1
anthropic-claude-sonnet-5,99,11,demand,,404,0
anthropic-claude-sonnet-5,99,12,demand,,127,0
anthropic-claude-sonnet-5,99,13,port,port,128,0
anthropic-claude-sonnet-5,99,14,port,port,113,0
anthropic-claude-sonnet-5,99,15,port,port,124,0
anthropic-claude-sonnet-5,99,16,port,port,498,0
anthropic-claude-sonnet-5,99,17,port,port;quality,514,0
anthropic-claude-sonnet-5,99,18,,,86,0
anthropic-claude-sonnet-5,99,19,,disruption,279,0
anthropic-claude-sonnet-5,99,20,,,141,0
anthropic-claude-sonnet-5,99,21,,supplier,98,0
anthropic-claude-sonnet-5,99,22,,supplier,173,0
anthropic-claude-sonnet-5,99,23,supplier,disruption;port,134,0
anthropic-claude-sonnet-5,99,24,demand;disruption;supplier,disruption;supplier,492,0
anthropic-claude-sonnet-5,99,25,demand;disruption,disruption,421,0
anthropic-claude-sonnet-5,99,26,demand,,384,0
anthropic-claude-sonnet-5,108,1,,port,133,0
anthropic-claude-sonnet-5,108,2,,freight,169,0
anthropic-claude-sonnet-5,108,3,,demand,129,0
anthropic-claude-sonnet-5,108,4,,,116,0
anthropic-claude-sonnet-5,108,5,demand,demand,104,0
anthropic-claude-sonnet-5,108,6,demand,demand;quality;supplier,165,1
anthropic-claude-sonnet-5,108,7,,quality,453,0
anthropic-claude-sonnet-5,108,8,,supplier,93,0
anthropic-claude-sonnet-5,108,9,,demand;supplier,185,0
anthropic-claude-sonnet-5,108,10,port,demand;disruption;port;supplier,258,0
anthropic-claude-sonnet-5,108,11,port,port,690,0
anthropic-claude-sonnet-5,108,12,demand;port;supplier,port,760,1
anthropic-claude-sonnet-5,108,13,demand;port;supplier,port;supplier,750,1
anthropic-claude-sonnet-5,108,14,demand;port;supplier,disruption;port;supplier,890,1
anthropic-claude-sonnet-5,108,15,demand;disruption;port;supplier,demand;disruption;freight;port,830,1
anthropic-claude-sonnet-5,108,16,disruption;port,disruption;freight,969,1
anthropic-claude-sonnet-5,108,17,port,,757,0
anthropic-claude-sonnet-5,108,18,,supplier,148,0
anthropic-claude-sonnet-5,108,19,,,129,0
anthropic-claude-sonnet-5,108,20,supplier,supplier,110,0
anthropic-claude-sonnet-5,108,21,port;supplier,supplier,95,0
anthropic-claude-sonnet-5,108,22,port,freight;port,264,0
anthropic-claude-sonnet-5,108,23,port,demand;port,244,0
anthropic-claude-sonnet-5,108,24,port,,94,0
anthropic-claude-sonnet-5,108,25,,,68,0
anthropic-claude-sonnet-5,108,26,demand,,39,0
anthropic-claude-sonnet-5,112,1,,demand;freight,91,0
anthropic-claude-sonnet-5,112,2,,demand,113,0
anthropic-claude-sonnet-5,112,3,,demand;freight,130,0
anthropic-claude-sonnet-5,112,4,,,98,0
anthropic-claude-sonnet-5,112,5,,quality,97,0
anthropic-claude-sonnet-5,112,6,,freight,80,0
anthropic-claude-sonnet-5,112,7,,,82,0
anthropic-claude-sonnet-5,112,8,,disruption,254,0
anthropic-claude-sonnet-5,112,9,,demand;supplier,468,0
anthropic-claude-sonnet-5,112,10,,demand,110,0
anthropic-claude-sonnet-5,112,11,,freight;port,105,0
anthropic-claude-sonnet-5,112,12,,demand,441,0
anthropic-claude-sonnet-5,112,13,demand,demand,78,0
anthropic-claude-sonnet-5,112,14,demand,demand,105,0
anthropic-claude-sonnet-5,112,15,,freight,100,0
anthropic-claude-sonnet-5,112,16,,freight,104,0
anthropic-claude-sonnet-5,112,17,,port,125,0
anthropic-claude-sonnet-5,112,18,,,119,0
anthropic-claude-sonnet-5,112,19,,freight,113,0
anthropic-claude-sonnet-5,112,20,demand,demand,119,0
anthropic-claude-sonnet-5,112,21,demand,demand;freight,181,1
anthropic-claude-sonnet-5,112,22,demand,demand,434,0
anthropic-claude-sonnet-5,112,23,demand,demand,122,0
anthropic-claude-sonnet-5,112,24,demand,,353,0
anthropic-claude-sonnet-5,112,25,,,38,0
anthropic-claude-sonnet-5,112,26,,,22,0
anthropic-claude-sonnet-5,143,1,port,port;supplier,100,0
anthropic-claude-sonnet-5,143,2,supplier,demand;supplier,189,0
anthropic-claude-sonnet-5,143,3,supplier,freight;supplier,232,0
anthropic-claude-sonnet-5,143,4,supplier,freight;supplier,227,0
anthropic-claude-sonnet-5,143,5,freight;supplier,freight;quality;supplier,160,0
anthropic-claude-sonnet-5,143,6,freight,freight,190,0
anthropic-claude-sonnet-5,143,7,freight,freight;port;quality,70,0
anthropic-claude-sonnet-5,143,8,freight,freight;supplier,438,0
anthropic-claude-sonnet-5,143,9,freight,freight;port;quality,550,0
anthropic-claude-sonnet-5,143,10,freight;port,freight;port,408,0
anthropic-claude-sonnet-5,143,11,port,port,367,0
anthropic-claude-sonnet-5,143,12,port,demand;port,169,0
anthropic-claude-sonnet-5,143,13,port,port,498,0
anthropic-claude-sonnet-5,143,14,port,freight;port,611,0
anthropic-claude-sonnet-5,143,15,disruption;port,disruption;freight,499,0
anthropic-claude-sonnet-5,143,16,port,,719,0
anthropic-claude-sonnet-5,143,17,port,demand;port,308,1
anthropic-claude-sonnet-5,143,18,,,454,0
anthropic-claude-sonnet-5,143,19,,,110,0
anthropic-claude-sonnet-5,143,20,,demand,150,0
anthropic-claude-sonnet-5,143,21,,,139,0
anthropic-claude-sonnet-5,143,22,,,139,0
anthropic-claude-sonnet-5,143,23,,disruption,85,0
anthropic-claude-sonnet-5,143,24,,disruption,59,0
anthropic-claude-sonnet-5,143,25,disruption,disruption,46,0
anthropic-claude-sonnet-5,143,26,,,32,0
anthropic-claude-sonnet-5,154,1,demand,demand;port,113,0
anthropic-claude-sonnet-5,154,2,demand,freight,142,0
anthropic-claude-sonnet-5,154,3,demand,demand;freight,90,0
anthropic-claude-sonnet-5,154,4,demand,demand;port,410,0
anthropic-claude-sonnet-5,154,5,,port,127,0
anthropic-claude-sonnet-5,154,6,port,port;supplier,153,0
anthropic-claude-sonnet-5,154,7,port,demand;port,513,0
anthropic-claude-sonnet-5,154,8,,freight,92,0
anthropic-claude-sonnet-5,154,9,,freight;quality,126,0
anthropic-claude-sonnet-5,154,10,,freight;quality,118,0
anthropic-claude-sonnet-5,154,11,,,128,0
anthropic-claude-sonnet-5,154,12,,disruption;freight,239,0
anthropic-claude-sonnet-5,154,13,,disruption;quality;supplier,940,0
anthropic-claude-sonnet-5,154,14,supplier,,282,0
anthropic-claude-sonnet-5,154,15,port;supplier,port;supplier,126,0
anthropic-claude-sonnet-5,154,16,,supplier,620,0
anthropic-claude-sonnet-5,154,17,,demand;supplier,162,0
anthropic-claude-sonnet-5,154,18,demand,demand,275,0
anthropic-claude-sonnet-5,154,19,demand,freight;quality,413,0
anthropic-claude-sonnet-5,154,20,demand;freight;port,disruption;freight,111,0
anthropic-claude-sonnet-5,154,21,demand;freight,freight,671,0
anthropic-claude-sonnet-5,154,22,disruption;freight,demand;disruption;freight,385,0
anthropic-claude-sonnet-5,154,23,disruption;freight,disruption;freight;port,65,0
anthropic-claude-sonnet-5,154,24,disruption;port,demand;port,368,0
anthropic-claude-sonnet-5,154,25,disruption,supplier,56,0
anthropic-claude-sonnet-5,154,26,disruption,,39,0
anthropic-claude-sonnet-5,157,1,,demand;freight;supplier,113,0
anthropic-claude-sonnet-5,157,2,,freight;port,257,0
anthropic-claude-sonnet-5,157,3,,,123,0
anthropic-claude-sonnet-5,157,4,,port,118,0
anthropic-claude-sonnet-5,157,5,,demand;quality;supplier,140,0
anthropic-claude-sonnet-5,157,6,,demand;port,155,0
anthropic-claude-sonnet-5,157,7,,,119,0
anthropic-claude-sonnet-5,157,8,,,113,0
anthropic-claude-sonnet-5,157,9,,,118,0
anthropic-claude-sonnet-5,157,10,,demand,119,0
anthropic-claude-sonnet-5,157,11,,demand;disruption,114,0
anthropic-claude-sonnet-5,157,12,disruption,disruption;port,68,0
anthropic-claude-sonnet-5,157,13,disruption,disruption;freight,543,0
anthropic-claude-sonnet-5,157,14,,demand,478,0
anthropic-claude-sonnet-5,157,15,,,79,0
anthropic-claude-sonnet-5,157,16,,,74,0
anthropic-claude-sonnet-5,157,17,,demand;quality,77,0
anthropic-claude-sonnet-5,157,18,,demand;quality,122,0
anthropic-claude-sonnet-5,157,19,,freight,79,0
anthropic-claude-sonnet-5,157,20,,demand,73,0
anthropic-claude-sonnet-5,157,21,,,78,0
anthropic-claude-sonnet-5,157,22,,supplier,91,0
anthropic-claude-sonnet-5,157,23,quality,,114,0
