model,seed,week,true,mini,haiku
deepseek-deepseek-v4-pro,112,22,demand,,
openai-gpt-5.4,95,20,,,
anthropic-claude-sonnet-5,60,2,,freight;port,demand;freight;port
anthropic-claude-sonnet-5,95,18,demand,demand,demand
deepseek-deepseek-v4-pro,44,10,supplier,disruption;freight;supplier,demand;disruption;freight;supplier
openai-gpt-5.4,94,15,demand,demand;supplier,demand;supplier
anthropic-claude-sonnet-5,1,12,demand,freight,demand;freight
deepseek-deepseek-v4-pro,95,6,freight;port,freight;port,demand;freight;port
deepseek-deepseek-v4-pro,60,1,,demand;quality,demand
anthropic-claude-sonnet-5,95,4,freight,demand;freight,demand;freight
openai-gpt-5.4,24,22,,demand;disruption,disruption
deepseek-deepseek-v4-pro,108,6,demand,freight;quality;supplier,demand;freight;quality;supplier
anthropic-claude-sonnet-5,154,12,,disruption;freight,demand;disruption;freight
anthropic-claude-sonnet-5,29,14,demand,freight,demand;freight
openai-gpt-5.4,99,12,demand,supplier,
anthropic-claude-sonnet-5,157,9,,,
deepseek-deepseek-v4-pro,154,8,,,
deepseek-deepseek-v4-pro,21,3,,demand;supplier,demand;freight;port;supplier
openai-gpt-5.4,29,18,port,freight;port;supplier,freight;port;supplier
anthropic-claude-sonnet-5,94,9,demand,demand,demand
deepseek-deepseek-v4-pro,85,25,demand;port,demand;disruption;port,demand;disruption;port
openai-gpt-5.4,154,24,disruption;port,disruption;port,demand;disruption;port
deepseek-deepseek-v4-pro,172,1,,supplier,
anthropic-claude-sonnet-5,29,15,,,
anthropic-claude-sonnet-5,94,19,freight,freight,freight;port
