scope,quantity,n,mean,ci_lo,ci_hi,p,p_holm
grok-4.5/DIAG,air $/wk,544,71.571,56.138,87.098,,
grok-4.5/DIAG,inspect $/wk,544,2.93,1.414,4.662,,
grok-4.5/DIAG,briefing $/wk,544,2.002,1.387,2.671,,
grok-4.5/DIAG,audit $/wk,544,2.694,1.996,3.444,,
grok-4.5/DIAG,dual_source $/wk,544,1.959,1.558,2.346,,
deepseek-v4-pro/DIAG,air $/wk,469,59.656,44.083,75.676,,
deepseek-v4-pro/DIAG,inspect $/wk,469,3.192,1.9,4.661,,
deepseek-v4-pro/DIAG,briefing $/wk,469,0.476,0.09,0.98,,
deepseek-v4-pro/DIAG,audit $/wk,469,0.567,0.227,0.966,,
deepseek-v4-pro/DIAG,dual_source $/wk,469,2.83,2.441,3.183,,
F1,gpt-5.4 levers DIAG - CALM $/wk,50,63.14,46.055,80.845,0.0,0.0
F1,claude-sonnet-5 levers DIAG - CALM $/wk,50,86.974,67.37,107.007,0.0,0.0
F1,grok-4.5 levers DIAG - CALM $/wk,50,61.456,45.965,77.303,0.0,0.0
F1,deepseek-v4-pro levers DIAG - CALM $/wk,50,41.759,24.307,59.268,0.0,0.0
F2,sonnet air$/DIAG-wk - gpt air$/DIAG-wk,50,30.63,13.464,50.49,0.0,0.0
F2,gpt stockout share DIAG - sonnet stockout share DIAG,50,-0.033,-0.063,-0.004,0.026,0.026
